poem小韵号	nk2028字头	unt修改后编码	切韵拼音
729	駝	GlA	da
730	醝	PlA	dza
731	莪	glA	nga
732	佗	FlA	tha
733	羅	IlA	la
734	那	HlA	na
735	何	jlA	gha
736	訶	ilA	ha
737	珂	elA	kha
738	阿	hlA	qa
739	戈	dlI	kwa
740	遳	OlI	tshwa
741	𨹄	ElI	twa
742	莎	QlI	swa
743	婆	ClA	ba
744	㸰	GlI	dwa
745	摩	DlA	ma
746	矬	PlI	dzwa
747	訛	glI	ngwa
748	詑	FlI	thwa
749	𩼊	IlI	lwa
750	捼	HlI	nwa
751	波	AlA	pa
752	頗	BlA	pha
753	和	jlI	ghwa
754	科	elI	khwa
755	倭	hlI	qwa
756	鞾	imI	hua
757	𦚢	hmI	qua
758	𩨷	emI	khua
759	伽	fmA	gya
760	佉	emA	khya
761	迦	dmA	kya
762	脞	OlI	tshwa
763	侳	NlI	tswa
764	瘸	fmI	gua
765	𦣛	ImI	lua
766	麻	DnA	mae
767	車	YoA	tjhiae
768	奢	aoA	sjiae
769	邪	loA	jiae
770	遮	XoA	tjiae
771	嗟	NoA	tsiae
772	蛇	boA	zjiae
773	華	jnI	ghwae
774	瓜	dnI	kwae
775	華	inI	hwae
776	誇	enI	khwae
777	拏	MnA	nrae
778	嘉	dnA	kae
779	遐	jnA	ghae
780	葩	BnA	phae
781	鴉	hnA	qae
782	巴	AnA	pae
783	叉	TnA	tsrhae
784	鯊	VnA	srae
785	牙	gnA	ngae
786	樝	SnA	tsrae
787	𡨀	LnA	drae
788	衺	RoA	ziae
789	闍	ZoA	djiae
790	窊	hnI	qwae
791	髽	SnI	tsrwae
792	檛	JnI	trwae
793	爬	CnA	bae
794	楂	UnA	dzrae
795	侘	KnA	trhae
796	奓	JnA	trae
797	煆	inA	hae
798	䶗	enA	khae
799	㚗	PoA	dziae
800	若	coA	njiae
801	些	QoA	siae
802	爹	EoA	tiae
803	𣢉	gnI	ngwae
804	𣘟	enA	khae
805	陽	lpA	jyang
806	詳	RpA	zyang
807	良	IpA	lyang
808	香	ipA	hyang
809	商	apA	sjyang
810	房	CpA	buang
811	章	XpA	tjyang
812	昌	YpA	tjhyang
813	羌	epA	khyang
814	薑	dpA	kyang
815	長	LpA	dryang
816	張	JpA	tryang
817	穰	cpA	njyang
818	方	ApA	puang
819	襄	QpA	syang
820	將	NpA	tsyang
821	創	TpA	tsrhyang
822	亡	DpA	muang
823	孃	MpA	nryang
824	牀	UpA	dzryang
825	莊	SpA	tsryang
826	常	ZpA	djyang
827	霜	VpA	sryang
828	牆	PpA	dzyang
829	鏘	OpA	tshyang
830	匡	epI	khuang
831	王	kpI	uang
832	央	hpA	qyang
833	強	fpA	gyang
834	𦳝	KpA	trhyang
835	芳	BpA	phuang
836	狂	fpI	guang
837	唐	GqA	dang
838	郎	IqA	lang
839	當	EqA	tang
840	倉	OqA	tshang
841	岡	dqA	kang
842	桑	QqA	sang
843	康	eqA	khang
844	荒	iqI	hwang
845	黃	jqI	ghwang
846	光	dqI	kwang
847	湯	FqA	thang
848	滂	BqA	phang
849	汪	hqI	qwang
850	鴦	hqA	qang
851	炕	iqA	hang
852	航	jqA	ghang
853	茫	DqA	mang
854	臧	NqA	tsang
855	囊	HqA	nang
856	傍	CqA	bang
857	卬	gqA	ngang
858	藏	PqA	dzang
859	䯑	eqI	khwang
860	幫	AqA	pang
861	庚	drA	kaeng
862	阬	erA	khaeng
863	盲	DrA	maeng
864	橫	jrI	ghwaeng
865	閍	ArA	paeng
866	諻	irI	hwaeng
867	觵	drI	kwaeng
868	彭	CrA	baeng
869	脝	irA	haeng
870	瞠	KrA	trhaeng
871	鎗	TrA	tsrhaeng
872	傖	UrA	dzraeng
873	霙	hsA	qyaeng
874	磅	BrA	phaeng
875	平	CsA	byaeng
876	驚	dsA	kyaeng
877	明	DsA	myaeng
878	棖	LrA	draeng
879	趟	JrA	traeng
880	榮	ksI	uaeng
881	兵	AsA	pyaeng
882	兄	isI	huaeng
883	卿	esA	khyaeng
884	生	VsA	sryaeng
885	擎	fsA	gyaeng
886	迎	gsA	ngyaeng
887	行	jrA	ghaeng
888	鬤	MrA	nraeng
889	耕	dtA	keeng
890	鏗	etA	kheeng
891	甍	DtA	meeng
892	浜	ArA	paeng
893	宏	jtI	ghweeng
894	莖	jtA	gheeng
895	朾	JtA	treeng
896	甖	htA	qeeng
897	崢	UtA	dzreeng
898	琤	TtA	tsrheeng
899	儜	MtA	nreeng
900	怦	BtA	pheeng
901	轟	itI	hweeng
902	繃	AtA	peeng
903	橙	LtA	dreeng
904	泓	htI	qweeng
905	輣	CtA	beeng
906	娙	gtA	ngeeng
907	爭	StA	tsreeng
908	清	OuA	tshiaeng
909	情	PuA	dziaeng
910	精	NuA	tsiaeng
911	盈	luA	jiaeng
912	營	luI	jwiaeng
913	嬰	huA	qiaeng
914	貞	JuA	triaeng
915	檉	KuA	trhiaeng
916	成	ZuA	djiaeng
917	呈	LuA	driaeng
918	聲	auA	sjiaeng
919	征	XuA	tjiaeng
920	輕	euA	khiaeng
921	名	DuA	miaeng
922	跉	IuA	liaeng
923	并	AuA	piaeng
924	傾	euI	khwiaeng
925	𩛿	RuA	ziaeng
926	縈	huI	qwiaeng
927	瓊	fuI	gwiaeng
928	騂	QuI	swiaeng
929	頸	fuA	giaeng
930	𧵣	iuI	hwiaeng
931	青	OvA	tsheng
932	經	dvA	keng
